recall,precision
1.0,0.10215053763440861
1.0,0.10270270270270271
1.0,0.10326086956521739
1.0,0.10382513661202186
1.0,0.1043956043956044
1.0,0.10497237569060773
1.0,0.10555555555555556
1.0,0.10614525139664804
1.0,0.10674157303370786
1.0,0.10734463276836158
1.0,0.10795454545454546
1.0,0.10857142857142857
1.0,0.10919540229885058
1.0,0.10982658959537572
1.0,0.11046511627906977
1.0,0.1111111111111111
1.0,0.11176470588235295
1.0,0.11242603550295859
1.0,0.1130952380952381
1.0,0.11377245508982035
1.0,0.1144578313253012
1.0,0.11515151515151516
1.0,0.11585365853658537
1.0,0.1165644171779141
1.0,0.11728395061728394
1.0,0.11801242236024845
1.0,0.11875
1.0,0.11949685534591195
1.0,0.12025316455696203
1.0,0.12101910828025478
1.0,0.12179487179487179
1.0,0.12258064516129032
1.0,0.12337662337662338
1.0,0.12418300653594772
1.0,0.125
1.0,0.12582781456953643
1.0,0.12666666666666668
1.0,0.12751677852348994
1.0,0.12837837837837837
1.0,0.1292517006802721
1.0,0.13013698630136986
1.0,0.1310344827586207
1.0,0.13194444444444445
1.0,0.13286713286713286
1.0,0.13380281690140844
1.0,0.1347517730496454
1.0,0.1357142857142857
1.0,0.1366906474820144
1.0,0.13768115942028986
0.9473684210526315,0.13138686131386862
0.9473684210526315,0.1323529411764706
0.9473684210526315,0.13333333333333333
0.9473684210526315,0.13432835820895522
0.9473684210526315,0.13533834586466165
0.9473684210526315,0.13636363636363635
0.9473684210526315,0.13740458015267176
0.9473684210526315,0.13846153846153847
0.9473684210526315,0.13953488372093023
0.9473684210526315,0.140625
0.9473684210526315,0.14173228346456693
0.9473684210526315,0.14285714285714285
0.9473684210526315,0.144
0.9473684210526315,0.14516129032258066
0.9473684210526315,0.14634146341463414
0.8947368421052632,0.13934426229508196
0.8947368421052632,0.14049586776859505
0.8947368421052632,0.14166666666666666
0.8947368421052632,0.14285714285714285
0.8947368421052632,0.1440677966101695
0.8947368421052632,0.1452991452991453
0.8947368421052632,0.14655172413793102
0.8947368421052632,0.14782608695652175
0.8947368421052632,0.14912280701754385
0.8947368421052632,0.1504424778761062
0.8421052631578947,0.14285714285714285
0.8421052631578947,0.14414414414414414
0.8421052631578947,0.14545454545454545
0.8421052631578947,0.14678899082568808
0.8421052631578947,0.14814814814814814
0.8421052631578947,0.14953271028037382
0.8421052631578947,0.1509433962264151
0.8421052631578947,0.1523809523809524
0.8421052631578947,0.15384615384615385
